2026-05-23 12:19:55.392 | INFO     | wisp.utils.logging:log_environment:50 - torch 2.12.0 | device=mps
2026-05-23 12:19:55.411 | INFO     | wisp.training.trainer:run_training:53 - dataset: 848 virtual windows across 106 clips
2026-05-23 12:19:56.658 | INFO     | wisp.training.trainer:run_training:94 - denoiser params: 5.38M
2026-05-23 12:20:01.687 | INFO     | wisp.training.trainer:run_training:142 - epoch    1/60 | total=0.2607 | rec=0.1525 | pos=0.0863 | vel=0.0436 | bone=0.0000 | 5.0s
2026-05-23 12:20:05.989 | INFO     | wisp.training.trainer:run_training:142 - epoch    2/60 | total=0.0697 | rec=0.0426 | pos=0.0200 | vel=0.0140 | bone=0.0000 | 4.3s
2026-05-23 12:20:10.296 | INFO     | wisp.training.trainer:run_training:142 - epoch    3/60 | total=0.0609 | rec=0.0383 | pos=0.0172 | vel=0.0107 | bone=0.0000 | 4.3s
2026-05-23 12:20:14.611 | INFO     | wisp.training.trainer:run_training:142 - epoch    4/60 | total=0.0586 | rec=0.0369 | pos=0.0168 | vel=0.0097 | bone=0.0000 | 4.3s
2026-05-23 12:20:18.922 | INFO     | wisp.training.trainer:run_training:142 - epoch    5/60 | total=0.0556 | rec=0.0355 | pos=0.0157 | vel=0.0087 | bone=0.0000 | 4.3s
2026-05-23 12:20:23.242 | INFO     | wisp.training.trainer:run_training:142 - epoch    6/60 | total=0.0533 | rec=0.0342 | pos=0.0149 | vel=0.0082 | bone=0.0000 | 4.3s
2026-05-23 12:20:27.583 | INFO     | wisp.training.trainer:run_training:142 - epoch    7/60 | total=0.0514 | rec=0.0336 | pos=0.0139 | vel=0.0078 | bone=0.0000 | 4.3s
2026-05-23 12:20:31.914 | INFO     | wisp.training.trainer:run_training:142 - epoch    8/60 | total=0.0475 | rec=0.0315 | pos=0.0124 | vel=0.0072 | bone=0.0000 | 4.3s
2026-05-23 12:20:36.246 | INFO     | wisp.training.trainer:run_training:142 - epoch    9/60 | total=0.0458 | rec=0.0302 | pos=0.0119 | vel=0.0074 | bone=0.0000 | 4.3s
2026-05-23 12:20:40.580 | INFO     | wisp.training.trainer:run_training:142 - epoch   10/60 | total=0.0429 | rec=0.0288 | pos=0.0107 | vel=0.0068 | bone=0.0000 | 4.3s
2026-05-23 12:20:44.920 | INFO     | wisp.training.trainer:run_training:142 - epoch   11/60 | total=0.0397 | rec=0.0269 | pos=0.0097 | vel=0.0061 | bone=0.0000 | 4.3s
2026-05-23 12:20:49.256 | INFO     | wisp.training.trainer:run_training:142 - epoch   12/60 | total=0.0384 | rec=0.0261 | pos=0.0093 | vel=0.0061 | bone=0.0000 | 4.3s
2026-05-23 12:20:53.597 | INFO     | wisp.training.trainer:run_training:142 - epoch   13/60 | total=0.0372 | rec=0.0254 | pos=0.0089 | vel=0.0057 | bone=0.0000 | 4.3s
2026-05-23 12:20:57.924 | INFO     | wisp.training.trainer:run_training:142 - epoch   14/60 | total=0.0374 | rec=0.0257 | pos=0.0091 | vel=0.0052 | bone=0.0000 | 4.3s
2026-05-23 12:21:02.244 | INFO     | wisp.training.trainer:run_training:142 - epoch   15/60 | total=0.0358 | rec=0.0247 | pos=0.0086 | vel=0.0050 | bone=0.0000 | 4.3s
2026-05-23 12:21:06.564 | INFO     | wisp.training.trainer:run_training:142 - epoch   16/60 | total=0.0350 | rec=0.0243 | pos=0.0083 | vel=0.0048 | bone=0.0000 | 4.3s
2026-05-23 12:21:10.885 | INFO     | wisp.training.trainer:run_training:142 - epoch   17/60 | total=0.0330 | rec=0.0228 | pos=0.0079 | vel=0.0045 | bone=0.0000 | 4.3s
